2924,619
3052,649
3572,1192
3510,1220
3550,1292
3246,1302
0,0
3514,2417
3232,2419
2914,2195
2876,2313
2618,2299
2486,1327
2384,1255
3078,3103
2484,2785
2004,2527
1730,2389
2306,2365
2636,2509
3176,2763
3128,2589
2192,2187
3628,2665
3032,2289
3672,2415
2972,1824
4060,2328
4228,2208
3798,2158
3558,1994
2436,2062
1395.404134,1677.758347
1460.167131,2131.099328
1275.841677,2091.245176
1206.096911,1647.867733
1993.216416,1408.74282
2157.614794,1483.469356
2018.125261,1867.06557
3682.036114,601.6962391
2461.502704,671.4410054
3183.859212,3316.760355
1091.516224,2978.000061
1231.005756,935.4747634
3542.546581,546.8967799
872.3183867,1184.563214
842.4277725,2096.226945
3975.960486,1936.810336
4175.231247,1817.24788
3816.543877,1727.576038
3622.254885,1837.174956
